feature_idx,peak_bin,peak_value,mean_value,selectivity
91,3,34.22279672291302,16.847312413646716,2.0313505135211196
38,3,73.26794660587836,37.141426623080264,1.9726745380412376
104,3,20.230382500233773,10.444482367987874,1.9369444829777822
43,3,37.04515645420365,20.464843507865613,1.8101851812335936
1,3,28.431172516803898,15.760709499379866,1.803927197434974
95,3,8.87125090299833,4.996476354238409,1.7755014282159574
97,3,27.084898258123424,16.614404876785198,1.6302057436897845
102,3,28.885784227495417,17.754443862629394,1.626960802095035
60,3,29.152854399390304,21.137041042491212,1.3792306283923441
77,3,25.945693884875062,19.719286838341457,1.3157521414226245
119,3,14.44965965433478,11.033981096992617,1.3095599428091116
127,4,44.7648083551489,17.089094527147495,2.6194956253553716
32,4,70.9287902134966,28.67623046737117,2.473434934002236
76,4,71.76531185431523,29.450541994917018,2.4368078477706807
3,4,21.94397791749278,9.111080550076396,2.408493459901128
94,4,89.04078350771263,38.903423968912826,2.2887647004763014
51,4,16.17797132827808,7.552908430888256,2.1419525307781777
105,4,46.535873766559305,25.11318237707505,1.8530456661294923
112,4,44.30627142143837,23.923629012836034,1.8519878985610978
66,4,5.22445194489139,2.8759888606074533,1.8165758624625161
57,4,42.36794330745925,24.62210633333105,1.7207278180788648
0,4,35.29432240740233,21.94562050598428,1.6082626780945855
52,4,32.21852682812733,20.191802904556017,1.5956240748000294
56,4,29.457273103012266,18.801455645568822,1.5667549182530593
86,5,49.98006118577207,18.94129192927936,2.638682798004475
36,5,55.46106506933593,21.69154023132395,2.556806223895762
46,5,0.6193238193748596,0.2561551072887401,2.417768772712133
17,5,52.87058934650847,22.494406566031227,2.350388270582205
99,5,62.4338547997051,28.15921379724778,2.217173222563694
72,5,83.68151109429881,39.86189597087254,2.099285772945787
87,5,72.70829302455125,34.84137657640892,2.0868375526178524
24,5,44.808821604921164,21.531029427756458,2.0811276931866227
68,5,69.12641664764251,36.61616470686606,1.8878661159910999
25,5,60.80301282054977,32.701735950591015,1.8593206462316267
45,5,58.12304901438637,32.12917525097954,1.8090426710412844
115,5,45.16235002852246,25.166465390923545,1.7945448169614544
109,5,32.60681843414358,19.174491441058898,1.7005310693310463
103,5,25.84107628692962,16.22792390447219,1.5923833781231616
